# current date and time = 2023-05-09 23:26:08
# current battery = 3.000000
month,day,hour,minutes15,minutes,temperature05,temperature01,lvdt,watermark1,watermark2
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
5,8,12,0,15,19.5,19.700000000000003,-0.0445,310.0,350.0
5,8,12,0,16,20.0,19.8,-0.042,310.0,350.0
5,8,12,0,17,20.0,19.8,-0.0385,310.0,350.0
5,8,12,0,18,20.0,19.900000000000002,-0.035500000000000004,300.0,350.0
5,8,12,0,19,20.0,19.900000000000002,-0.033,310.0,350.0
5,8,12,0,20,20.0,19.900000000000002,-0.0325,310.0,350.0
5,8,12,0,21,20.0,19.900000000000002,-0.034,310.0,350.0
5,8,12,0,22,20.0,19.900000000000002,-0.033,310.0,350.0
5,8,12,0,23,20.0,19.900000000000002,-0.0325,310.0,350.0
5,8,12,0,24,20.0,19.900000000000002,-0.029,310.0,350.0
5,8,12,0,25,20.0,19.900000000000002,-0.029,300.0,350.0
5,8,12,0,26,20.0,19.900000000000002,-0.029,310.0,350.0
5,8,12,0,27,20.0,19.900000000000002,-0.029,310.0,350.0
5,8,12,0,28,20.0,19.900000000000002,-0.029,310.0,350.0
5,8,12,0,29,20.0,19.900000000000002,-0.029,310.0,350.0
5,8,12,0,30,20.0,19.8,-0.031,310.0,350.0
5,8,12,0,31,20.0,19.8,-0.031,310.0,350.0
5,8,12,0,32,20.0,19.8,-0.0335,310.0,350.0
5,8,12,0,33,20.0,19.8,-0.026000000000000002,310.0,350.0
5,8,12,0,34,20.0,19.8,-0.027,310.0,350.0
5,8,12,0,35,19.5,19.700000000000003,-0.0265,310.0,350.0
5,8,12,0,36,19.5,19.700000000000003,-0.0265,310.0,350.0
5,8,12,0,37,19.5,19.700000000000003,-0.0265,310.0,350.0
5,8,12,0,38,19.5,19.700000000000003,-0.029,310.0,350.0
5,8,12,0,39,19.5,19.700000000000003,-0.029,310.0,350.0
5,8,12,0,40,19.5,19.6,-0.0285,310.0,350.0
5,8,12,0,41,19.5,19.6,-0.029500000000000002,310.0,350.0
5,8,12,0,42,19.5,19.6,-0.0315,310.0,350.0
5,8,12,0,43,19.5,19.5,-0.032,310.0,350.0
5,8,12,0,44,19.5,19.5,-0.0315,310.0,350.0
5,8,12,0,45,19.5,19.5,-0.0325,310.0,350.0
5,8,12,0,46,19.5,19.5,-0.0325,310.0,350.0
5,8,12,0,47,19.5,19.400000000000002,-0.0325,310.0,350.0
5,8,12,0,48,19.5,19.400000000000002,-0.0325,310.0,350.0
5,8,12,0,49,19.5,19.400000000000002,-0.032,310.0,350.0
5,8,12,0,50,19.5,19.400000000000002,-0.032,310.0,350.0
5,8,12,0,51,19.5,19.400000000000002,-0.0325,310.0,350.0
5,8,12,0,52,19.5,19.3,-0.0325,310.0,350.0
5,8,12,0,53,19.5,19.3,-0.0335,310.0,350.0
5,8,12,0,54,19.5,19.3,-0.0335,310.0,350.0
5,8,12,0,55,19.5,19.3,-0.0335,310.0,350.0
